,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
20,18.756556000000003,4.886879251857937,-53.464593996555905,4.956741445363163,4.838338669988375,14.74831774390431,137,169.24175824175825,187
21,27.207312,5.8856966915011455,-63.79930620862846,6.198216215491162,5.601896603549378,18.60063548780862,134,164.53030303030303,189
22,11.130264,3.764504252639672,90.00003218077504,4.056937797932857,3.541185628334243,11.272105914634771,134,168.88888888888889,185
23,25.352268000000002,5.681505976968064,90.00003218077504,6.195172662234034,5.219274546979491,17.316529573173852,138,170.2357723577236,190
24,31.947980000000005,6.3778861318157825,41.26433508561152,8.910301578814941,4.9375064282943795,22.608741402443396,126,159.61935483870968,179
25,19.993252000000002,5.045413667307705,-86.42841778973303,5.289636137053578,4.830058785909195,15.124423658539081,134,163.15463917525773,181
26,26.382848000000003,5.795833449672014,-1.0182778597089372,7.506997920061359,4.5440765401998275,18.646264786586926,134,164.484375,181
27,18.344324,4.832878928571905,-52.12503498693982,4.89308113994037,4.76985334615439,14.482370701221694,135,164.22471910112358,183
28,11.954728000000001,3.9014397901483373,-45.00001609038743,4.032597383222433,3.7684442179789563,11.382264786586926,142,165.41379310344828,181
29,13.603656,4.161816042567687,-76.11852924255868,4.4453577543394625,3.9021345712155098,12.290264786586926,134,163.28787878787878,178
30,23.909456000000002,5.517469064009821,7.533639057027973,6.4749088653137665,4.755611646754977,17.206370701221697,140,167.6206896551724,183
31,18.550440000000002,4.859954092400149,90.00003218077504,4.89721774979313,4.834925664856841,14.74831774390431,134,168.76666666666668,188
32,12.160844,3.9349291579589254,54.46234168180044,4.00526067625389,3.871758376225517,11.64821182926954,134,161.71186440677965,179
33,20.611600000000003,5.122841418613627,69.66665931499585,5.474356400910296,4.816992200015739,15.65631774390431,134,164.78,184
34,25.970616000000003,5.750375230568152,68.59525378070333,8.180248531637623,4.185534791757968,19.774582530491237,129,158.16666666666666,177
35,27.619544,5.930117674072986,85.79324214992631,7.3148526870811486,4.842691205420345,18.75642365853908,134,166.3582089552239,185
36,12.573076000000002,4.001067052944827,45.00001609038758,4.101094606538817,3.9390534604057383,11.914158871952155,135,162.63934426229508,179
37,19.374904,4.966779031550275,-45.000016090387476,5.1055945618299186,4.87945255743908,15.014264786586926,134,167.2872340425532,186
38,28.031776000000004,5.974208375371424,-68.11535353208515,7.262314074464479,4.936027247667651,18.976741402443395,134,164.80882352941177,182
39,15.870932000000002,4.495275101059192,-48.98848522342411,4.6610101404788296,4.39455655579709,13.730158871952156,134,163.83116883116884,188
40,15.458700000000002,4.436510808078513,-48.80566647220005,4.598049307387133,4.329312403572374,13.730158871952156,120,152.78666666666666,169
41,21.436064000000002,5.224293671710446,73.7592342224017,5.814450703379245,4.712099437898902,16.40852957317385,121,160.80769230769232,179
42,13.397540000000001,4.130166792052245,7.001019562722481,4.408481030735838,3.872427171590891,12.290264786586926,134,163.95384615384614,182
43,25.352268000000002,5.681505976968064,-84.4358303311056,6.168495268307598,5.231062024518837,17.316529573173852,135,164.9268292682927,185
44,16.283164000000003,4.5532810497714715,81.6199737681711,4.772565452765882,4.333045989640145,13.574370701221694,135,164.16455696202533,183
45,19.168788000000003,4.940289354505953,-83.30109138680237,5.169320944813799,4.7123691206494405,14.858476615856468,134,161.67741935483872,183
46,16.901512,4.638930204714865,-67.87652639783613,4.978434435375262,4.347414349024563,14.106264786586927,135,160.82926829268294,178
47,14.222004000000002,4.255351677380104,45.00001609038752,4.239212833684499,4.239212833684499,12.400423658539081,135,159.20289855072463,180
48,10.718032000000001,3.694133482176423,90.00003218077504,3.9418238652450452,3.4529723205021274,10.74021182926954,139,162.26923076923077,178
49,16.48928,4.582008659988611,85.81511455928056,4.7788756836728865,4.399351361280434,13.950476615856465,121,160.5125,179
50,22.054412000000003,5.299108367856022,90.00003218077504,5.34808059551039,5.252322021066425,16.03242365853908,134,165.92523364485982,184
